Index,Country,GDP,CPI,Population,logGDP,logCPI,lnPop,NGDP,NCPI,NPOP
0,Albania,11.9,2,2880000,1.075546961,0.301029996,14.87330085,0.333494534,1.48E-02,0.442426947
1,Algeria,159,5.6,40600000,2.201397124,0.748188027,17.51927862,0.568391019,3.39E-02,0.681462286
2,Angola,95.3,31.7,28800000,1.979092901,1.501059262,17.17588595,0.522009642,1.72E-01,0.650440489
4,Armenia,10.5,1,2920000,1.021189299,0,14.88709417,0.322153394,9.54E-03,0.443673024
5,Australia,1208,1.9,24200000,3.082066934,0.278753601,17.00186319,0.75213327,1.43E-02,0.634719424
6,Austria,390.8,2.1,8740000,2.591954555,0.322219295,15.98342075,0.649876612,1.54E-02,0.542714216
7,Azerbaijan,37.9,12.9,9760000,1.57863921,1.11058971,16.09380296,0.438459302,7.26E-02,0.55268605
8,"Bahamas, The",11.8,1.5,391232,1.071882007,0.176091259,12.87705601,0.332729881,1.22E-02,0.262087919
9,Bahrain,32.2,1.4,1430000,1.507855872,0.146128036,14.173185,0.423691122,1.17E-02,0.379179088
10,Bangladesh,221.4,5.8,163000000,2.345177617,0.763427994,18.90926076,0.598389267,3.50E-02,0.807032067
11,Barbados,4.5,4.7,284996,0.653212514,0.672097858,12.56023042,0.24537901,2.91E-02,0.23346617
12,Belgium,467.5,2.1,11300000,2.669781615,0.322219295,16.24031328,0.666114388,1.54E-02,0.565921665
13,Belize,1.8,1.2,366954,0.255272505,0.079181246,12.81299178,0.162353122,1.06E-02,0.256300412
14,Benin,8.6,0.1,10900000,0.934498451,-1,16.20427335,0.304066285,4.77E-03,0.562665849
15,Bhutan,2.2,3.9,797765,0.342422681,0.591064607,13.58956935,0.180536065,2.49E-02,0.326455756
16,Bolivia,33.9,2.8,10900000,1.530199698,0.447158031,16.20427335,0.42835292,1.91E-02,0.562665849
17,Bosnia and Herzegovina,16.9,1.2,3520000,1.227886705,0.079181246,15.07397155,0.365278577,1.06E-02,0.460555364
18,Botswana,15.6,3.3,2250000,1.193124598,0.51851394,14.62644077,0.358025839,2.17E-02,0.420125822
19,Brazil,1794,3.4,208000000,3.253822439,0.531478917,19.15304864,0.787968202,2.23E-02,0.829055652
20,Brunei Darussalam,11.4,-0.2,423196,1.056904851,#NUM!,12.95559071,0.329605059,3.18E-03,0.269182675
21,Bulgaria,53.2,2.1,7130000,1.725911632,0.322219295,15.77982179,0.469186103,1.54E-02,0.524321263
22,Burkina Faso,11.4,0.4,18600000,1.056904851,-0.397940009,16.73867214,0.329605059,6.36E-03,0.610942972
23,Burundi,3,16.1,10500000,0.477121255,1.206825876,16.16688582,0.208639469,8.96E-02,0.559288292
24,Cabo Verde,1.6,0.8,539560,0.204119983,-0.096910013,13.19850927,0.1516807,8.48E-03,0.291127728
25,Cambodia,20,2.9,15800000,1.301029996,0.462397998,16.5755205,0.380539135,1.96E-02,0.596203995
26,Cameroon,32.2,0.6,23400000,1.507855872,-0.22184875,16.96824658,0.423691122,7.42E-03,0.631682528
27,Canada,1535.8,1.6,36300000,3.186334663,0.204119983,17.4073283,0.773887606,1.27E-02,0.67134879
28,Chile,250,2.2,17900000,2.397940009,0.342422681,16.70031127,0.609397571,1.59E-02,0.607477485
29,China,11191,1.6,1380000000,4.048868896,0.204119983,21.04534934,0.953846065,1.27E-02,1.000004457
30,"Hong Kong SAR, China",320.9,1.5,7340000,2.506369717,0.176091259,15.8088494,0.632020259,1.22E-02,0.526943592
31,"Macao SAR, China",45.3,1.2,612167,1.656098202,0.079181246,13.3247604,0.454620284,1.06E-02,0.302533145
32,Colombia,280.1,4.3,48700000,2.447313109,0.633468456,17.70118959,0.619698735,2.70E-02,0.697895964
33,Costa Rica,57,1.6,4860000,1.755874856,0.204119983,15.396549,0.475437606,1.27E-02,0.489696731
34,Cote d'Ivoire,36.4,0.7,23700000,1.561101384,-0.15490196,16.98098561,0.434800224,7.95E-03,0.632833361
35,Croatia,51.3,1.1,4170000,1.710117365,0.041392685,15.24342659,0.4658908,1.01E-02,0.475863786
36,Cyprus,20.2,0.5,1170000,1.305351369,-0.301029996,13.97251431,0.381440743,6.89E-03,0.361050672
37,Czech Republic,195.3,2.5,10600000,2.290702243,0.397940009,16.17636456,0.587023568,1.75E-02,0.560144593
38,Denmark,306.9,1.1,5730000,2.486996888,0.041392685,15.56122609,0.627978327,1.01E-02,0.504573517
