Index,Country,GDP,CPI,Population,logGDP,logCPI,logPop,NGDP,NCPI,NPOP
0,Albania,11.9,2,2.88E+06,1.075546961,0.301029996,6.459392488,0.333494534,1.48E-02,0.44
1,Algeria,159,5.6,4.06E+07,2.201397124,0.748188027,7.608526034,0.568391019,3.39E-02,0.68
2,Angola,95.3,31.7,2.88E+07,1.979092901,1.501059262,7.459392488,0.522009642,1.72E-01,0.65
4,Armenia,10.5,1,2.92E+06,1.021189299,0,6.465382851,0.322153394,9.54E-03,0.44
5,Australia,1208,1.9,2.42E+07,3.082066934,0.278753601,7.383815366,0.75213327,1.43E-02,0.63
6,Austria,390.8,2.1,8.74E+06,2.591954555,0.322219295,6.941511433,0.649876612,1.54E-02,0.54
7,Azerbaijan,37.9,12.9,9.76E+06,1.57863921,1.11058971,6.989449818,0.438459302,7.26E-02,0.55
8,"Bahamas, The",11.8,1.5,391232,1.071882007,0.176091259,5.59243437,0.332729881,1.22E-02,0.26
9,Bahrain,32.2,1.4,1.43E+06,1.507855872,0.146128036,6.155336037,0.423691122,1.17E-02,0.38
10,Bangladesh,221.4,5.8,1.63E+08,2.345177617,0.763427994,8.212187604,0.598389267,3.50E-02,0.81
11,Barbados,4.5,4.7,284996,0.653212514,0.672097858,5.454838765,0.24537901,2.91E-02,0.23
12,Belgium,467.5,2.1,1.13E+07,2.669781615,0.322219295,7.053078443,0.666114388,1.54E-02,0.57
13,Belize,1.8,1.2,366954,0.255272505,0.079181246,5.564611626,0.162353122,1.06E-02,0.26
14,Benin,8.6,0.1,1.09E+07,0.934498451,-1,7.037426498,0.304066285,4.77E-03,0.56
15,Bhutan,2.2,3.9,797765,0.342422681,0.591064607,5.901874979,0.180536065,2.49E-02,0.33
16,Bolivia,33.9,2.8,1.09E+07,1.530199698,0.447158031,7.037426498,0.42835292,1.91E-02,0.56
17,Bosnia and Herzegovina,16.9,1.2,3.52E+06,1.227886705,0.079181246,6.546542663,0.365278577,1.06E-02,0.46
18,Botswana,15.6,3.3,2.25E+06,1.193124598,0.51851394,6.352182518,0.358025839,2.17E-02,0.42
19,Brazil,1794,3.4,2.08E+08,3.253822439,0.531478917,8.318063335,0.787968202,2.23E-02,0.83
20,Brunei Darussalam,11.4,-0.2,423196,1.056904851,#NUM!,5.626541554,0.329605059,3.18E-03,0.27
21,Bulgaria,53.2,2.1,7.13E+06,1.725911632,0.322219295,6.85308953,0.469186103,1.54E-02,0.52
22,Burkina Faso,11.4,0.4,1.86E+07,1.056904851,-0.397940009,7.269512944,0.329605059,6.36E-03,0.61
23,Burundi,3,16.1,1.05E+07,0.477121255,1.206825876,7.021189299,0.208639469,8.96E-02,0.56
24,Cabo Verde,1.6,0.8,539560,0.204119983,-0.096910013,5.732039746,0.1516807,8.48E-03,0.29
25,Cambodia,20,2.9,1.58E+07,1.301029996,0.462397998,7.198657087,0.380539135,1.96E-02,0.6
26,Cameroon,32.2,0.6,2.34E+07,1.507855872,-0.22184875,7.369215857,0.423691122,7.42E-03,0.63
27,Canada,1535.8,1.6,3.63E+07,3.186334663,0.204119983,7.559906625,0.773887606,1.27E-02,0.67
28,Chile,250,2.2,1.79E+07,2.397940009,0.342422681,7.252853031,0.609397571,1.59E-02,0.61
29,China,11191,1.6,1.38E+09,4.048868896,0.204119983,9.139879086,0.953846065,1.27E-02,1
30,"Hong Kong SAR, China",320.9,1.5,7.34E+06,2.506369717,0.176091259,6.86569606,0.632020259,1.22E-02,0.53
31,"Macao SAR, China",45.3,1.2,612167,1.656098202,0.079181246,5.786869914,0.454620284,1.06E-02,0.3
32,Colombia,280.1,4.3,4.87E+07,2.447313109,0.633468456,7.687528961,0.619698735,2.70E-02,0.7
33,Costa Rica,57,1.6,4.86E+06,1.755874856,0.204119983,6.686636269,0.475437606,1.27E-02,0.49
34,Cote d'Ivoire,36.4,0.7,2.37E+07,1.561101384,-0.15490196,7.374748346,0.434800224,7.95E-03,0.63
35,Croatia,51.3,1.1,4.17E+06,1.710117365,0.041392685,6.620136055,0.4658908,1.01E-02,0.48
36,Cyprus,20.2,0.5,1.17E+06,1.305351369,-0.301029996,6.068185862,0.381440743,6.89E-03,0.36
37,Czech Republic,195.3,2.5,1.06E+07,2.290702243,0.397940009,7.025305865,0.587023568,1.75E-02,0.56
38,Denmark,306.9,1.1,5.73E+06,2.486996888,0.041392685,6.758154622,0.627978327,1.01E-02,0.5
39,Djibouti,1.8,0.6,942333,0.255272505,-0.22184875,5.9742044,0.162353122,7.42E-03,0.34
40,Dominica,0.6,0.4,73543,-0.22184875,-0.397940009,4.866541342,0.062806921,6.36E-03,0.11
41,Dominican Republic,72.3,3.3,1.06E+07,1.859138297,0.51851394,7.025305865,0.496982409,2.17E-02,0.56
