Country,Population,abbr
Aruba,104822,ABW
Afghanistan,34656032,AFG
Angola,28813463,AGO
Albania,2876101,ALB
Andorra,77281,AND
Arab World,406452690,ARB
United Arab Emirates,9269612,ARE
Argentina,43847430,ARG
Armenia,2924816,ARM
American Samoa,55599,ASM
Antigua and Barbuda,100963,ATG
Australia,24210809,AUS
Austria,8736668,AUT
Azerbaijan,9757812,AZE
Burundi,10524117,BDI
Belgium,11331422,BEL
Benin,10872298,BEN
Burkina Faso,18646433,BFA
Bangladesh,162951560,BGD
Bulgaria,7127822,BGR
Bahrain,1425171,BHR
"Bahamas, The",391232,BHS
Bosnia and Herzegovina,3516816,BIH
Belarus,9501534,BLR
Belize,366954,BLZ
Bermuda,65341,BMU
Bolivia,10887882,BOL
Brazil,207652865,BRA
Barbados,284996,BRB
Brunei Darussalam,423196,BRN
Bhutan,797765,BTN
Botswana,2250260,BWA
Central African Republic,4594621,CAF
Canada,36264604,CAN
Central Europe and the Baltics,102994343,CEB
Switzerland,8373338,CHE
Channel Islands,164541,CHI
Chile,17909754,CHL
China,1378665000,CHN
Cote d'Ivoire,23695919,CIV
Cameroon,23439189,CMR
"Congo, Dem. Rep.",78736153,COD
"Congo, Rep.",5125821,COG
Colombia,48653419,COL
Comoros,795601,COM
Cabo Verde,539560,CPV
Costa Rica,4857274,CRI
Caribbean small states,7245472,CSS
Cuba,11475982,CUB
Curacao,159663,CUW
Cayman Islands,60765,CYM
Cyprus,1170125,CYP
Czech Republic,10566332,CZE
Germany,82348669,DEU
Djibouti,942333,DJI
Dominica,73543,DMA
Denmark,5728010,DNK
Dominican Republic,10648791,DOM
Algeria,40606052,DZA
East Asia & Pacific (excluding high income),2053299126,EAP
Early-demographic dividend,3170657660,EAR
East Asia & Pacific,2298726779,EAS
Europe & Central Asia (excluding high income),413234935,ECA
Europe & Central Asia,911686319,ECS
Ecuador,16385068,ECU
"Egypt, Arab Rep.",95688681,EGY
Euro area,340617355,EMU
Eritrea,,ERI
Spain,46484062,ESP
Estonia,1315790,EST
Ethiopia,102403196,ETH
European Union,511218960,EUU
Fragile and conflict affected situations,499508468,FCS
Finland,5495303,FIN
Fiji,898760,FJI
France,66859768,FRA
Faroe Islands,49117,FRO
"Micronesia, Fed. Sts.",104937,FSM
Gabon,1979786,GAB
United Kingdom,65595565,GBR
Georgia,3719300,GEO
Ghana,28206728,GHA
Gibraltar,34408,GIB
Guinea,12395924,GIN
"Gambia, The",2038501,GMB
Guinea-Bissau,1815698,GNB
Equatorial Guinea,1221490,GNQ
Greece,10775971,GRC
Grenada,107317,GRD
Greenland,56186,GRL
Guatemala,16582469,GTM
Guam,162896,GUM
Guyana,773303,GUY
High income,1242137612,HIC
"Hong Kong SAR, China",7336600,HKG
Honduras,9112867,HND
Heavily indebted poor countries (HIPC),744602976,HPC
Croatia,4174349,HRV
Haiti,10847334,HTI
Hungary,9814023,HUN
