['Location','Parent','2015 Data'],
['Afghanistan','South Asia',125.6],
['Albania','Europe & Central Asia',115.8],
['Algeria','Middle East & North Africa',2.19],
['Angola','Sub-Saharan Africa',13.64],
['Antigua and Barbuda','Latin America & Caribbean',14.91],
['Argentina','Latin America & Caribbean',-0.43],
['Armenia','Europe & Central Asia',119.12],
['Azerbaijan','Europe & Central Asia',7.22],
['Bangladesh','South Asia',15.94],
['Belarus','Europe & Central Asia',11.02],
['Belize','Latin America & Caribbean',78.68],
['Benin','Sub-Saharan Africa',40.67],
['Bhutan','South Asia',123.55],
['Bolivia','Latin America & Caribbean',73.78],
['Bosnia and Herzegovina','Europe & Central Asia',100.41],
['Botswana','Sub-Saharan Africa',29.67],
['Brazil','Latin America & Caribbean',4.87],
['Burkina Faso','Sub-Saharan Africa',55.05],
['Burundi','Sub-Saharan Africa',35.94],
['Cabo Verde','Sub-Saharan Africa',286.76],
['Cambodia','East Asia & Pacific',43.76],
['Cameroon','Sub-Saharan Africa',29.04],
['Central African Republic','Sub-Saharan Africa',107.07],
['Chad','Sub-Saharan Africa',43.3],
['Chile','Latin America & Caribbean',3.06],
['China','East Asia & Pacific',-0.24],
['Colombia','Latin America & Caribbean',28.11],
['Comoros','Sub-Saharan Africa',84.61],
['Congo, Dem. Rep.','Sub-Saharan Africa',34.11]
['Congo, Rep.','Sub-Saharan Africa',17.78]
['Costa Rica','Latin America & Caribbean',23.15],
['Cote dIvoire','Sub-Saharan Africa',28.26],
['Cuba','Latin America & Caribbean',48.23],
['Djibouti','Middle East & North Africa',182.83],
['Dominica','Latin America & Caribbean',160.06],
['Dominican Republic','Latin America & Caribbean',26.59],
['East Asia & Pacific','Global',3.93],
['Ecuador','Latin America & Caribbean',19.71],
['Egypt, Arab Rep.','Middle East & North Africa',26.65]
['El Salvador','Latin America & Caribbean',14.21],
['Equatorial Guinea','Sub-Saharan Africa',6.37],
['Eswatini','Sub-Saharan Africa',70.23],
['Ethiopia','Sub-Saharan Africa',32.38],
['Europe & Central Asia','Global',15.1],
['Fiji','East Asia & Pacific',114.87],
['Gabon','Sub-Saharan Africa',51.18],
['Gambia, The','Sub-Saharan Africa',54.45]
['Georgia','Europe & Central Asia',120.77],
['Ghana','Sub-Saharan Africa',64.12],
['Global', null, 0],
['Grenada','Latin America & Caribbean',225.61],
['Guatemala','Latin America & Caribbean',25.31],
['Guinea','Sub-Saharan Africa',44.5],
['Guinea-Bissau','Sub-Saharan Africa',53.68],
['Guyana','Latin America & Caribbean',41.82],
['Haiti','Latin America & Caribbean',97.64],
['Honduras','Latin America & Caribbean',60.32],
['India','South Asia',2.42],
['Indonesia','East Asia & Pacific',-0.13],
['Iran, Islamic Rep.','Middle East & North Africa',1.4]
['Iraq','Middle East & North Africa',41.06],
['Jamaica','Latin America & Caribbean',20.57],
['Jordan','Middle East & North Africa',234.94],
['Kazakhstan','Europe & Central Asia',4.7],
['Kenya','Sub-Saharan Africa',52.17],
['Kiribati','East Asia & Pacific',577.81],
['Korea, Dem. People’s Rep.','East Asia & Pacific',5.21]
['Kosovo','Europe & Central Asia',242.98],
['Kyrgyz Republic','Europe & Central Asia',129.26],
['Lao PDR','East Asia & Pacific',70.69],
['Latin America & Caribbean','Global',17.31],
['Lebanon','Middle East & North Africa',166.61],
['Lesotho','Sub-Saharan Africa',38.23],
['Liberia','Sub-Saharan Africa',243.23],
['Libya','Middle East & North Africa',25.24],
['Macedonia, FYR','Europe & Central Asia',103.07]
['Madagascar','Sub-Saharan Africa',27.93],
['Malawi','Sub-Saharan Africa',59.71],
['Malaysia','East Asia & Pacific',-0.02],
['Maldives','South Asia',64.12],
['Mali','Sub-Saharan Africa',68.93],
['Marshall Islands','East Asia & Pacific',1076.73],
['Mauritania','Sub-Saharan Africa',76.03],
['Mauritius','Sub-Saharan Africa',62.11],
['Mexico','Latin America & Caribbean',2.55],
['Micronesia, Fed. Sts.','East Asia & Pacific',779.35]
['Middle East & North Africa','Global',61.19],
['Moldova','Europe & Central Asia',87.95],
['Mongolia','East Asia & Pacific',79.39],
['Montenegro','Europe & Central Asia',160.67],
['Morocco','Middle East & North Africa',42.57],
['Mozambique','Sub-Saharan Africa',64.79],
['Myanmar','East Asia & Pacific',22.3],
['Namibia','Sub-Saharan Africa',58.7],
['Nauru','East Asia & Pacific',2505.01],
['Nepal','South Asia',42.74],
['Nicaragua','Latin America & Caribbean',75.29],
['Niger','Sub-Saharan Africa',43.62],
['Nigeria','Sub-Saharan Africa',13.42],
['Pakistan','South Asia',19.79],
['Palau','East Asia & Pacific',654.36],
['Panama','Latin America & Caribbean',2.58],
['Papua New Guinea','East Asia & Pacific',74.67],
['Paraguay','Latin America & Caribbean',9.06],
['Peru','Latin America & Caribbean',10.67],
['Philippines','East Asia & Pacific',5.07],
['Rwanda','Sub-Saharan Africa',93.33],
['Samoa','East Asia & Pacific',483.69],
['Sao Tome and Principe','Sub-Saharan Africa',250.32],
['Senegal','Sub-Saharan Africa',58.7],
['Serbia','Europe & Central Asia',44.04],
['Seychelles','Sub-Saharan Africa',72.58],
['Sierra Leone','Sub-Saharan Africa',130.76],
['Solomon Islands','East Asia & Pacific',323.47],
['Somalia','Sub-Saharan Africa',90.12],
['South Africa','Sub-Saharan Africa',25.69],
['South Asia','Global',8.92],
['South Sudan','Sub-Saharan Africa',140.95],
['Sri Lanka','South Asia',20.38],
['St. Lucia','Latin America & Caribbean',77.65],
['St. Vincent and the Grenadines','Latin America & Caribbean',123.34],
['Sub-Saharan Africa','Global',45.52],
['Sudan','Sub-Saharan Africa',22.37],
['Suriname','Latin America & Caribbean',28.89],
['Syrian Arab Republic','Middle East & North Africa',261],
['Tajikistan','Europe & Central Asia',49.87],
['Tanzania','Sub-Saharan Africa',47.93],
['Thailand','East Asia & Pacific',0.85],
['Timor-Leste','East Asia & Pacific',171.07],
['Togo','Sub-Saharan Africa',26.91],
['Tonga','East Asia & Pacific',643.07],
['Tunisia','Middle East & North Africa',42.09],
['Turkey','Europe & Central Asia',27.41],
['Turkmenistan','Europe & Central Asia',4.24],
['Tuvalu','East Asia & Pacific',4513.23],
['Uganda','Sub-Saharan Africa',40.56],
['Ukraine','Europe & Central Asia',32.1],
['Uruguay','Latin America & Caribbean',6.75],
['Uzbekistan','Europe & Central Asia',14.31],
['Vanuatu','East Asia & Pacific',705.06],
['Venezuela, RB','Latin America & Caribbean',1.17]
