Index,Country,GDP,CPI,Population,CleanGDP,NGDP,CleanCPI,NCPI,abbr,logPop
0,Albania,11.9,2,2880000.00,11.6,0.000622846,2.8,0.014838368,ALB,14.87197872
1,Algeria,159,5.6,40600000.00,158.7,0.008521171,6.4,0.033916269,DZA,17.51772129
2,Angola,95.3,31.7,28800000.00,95,0.00510089,32.5,0.172231055,AGO,17.17435913
4,Armenia,10.5,1,2920000.00,10.2,0.000547675,1.8,0.009538951,ARM,14.88577082
5,Australia,1208,1.9,24200000.00,1207.7,0.064845738,2.7,0.014308426,AUS,17.00035185
6,Austria,390.8,2.1,8740000.00,390.5,0.020967344,2.9,0.015368309,AUT,15.98199994
7,Azerbaijan,37.9,12.9,9760000.00,37.6,0.002018879,13.7,0.072602014,AZE,16.09237234
8,"Bahamas, The",11.8,1.5,391232.00,11.5,0.000617476,2.3,0.012188659,BHS,12.87591134
9,Bahrain,32.2,1.4,1430000.00,31.9,0.001712825,2.2,0.011658718,BHR,14.17192511
10,Bangladesh,221.4,5.8,163000000.00,221.1,0.011871651,6.6,0.034976153,BGD,18.90757986
11,Barbados,4.5,4.7,284996.00,4.2,0.000225513,5.5,0.029146794,BRB,12.55911391
12,Belgium,467.5,2.1,11300000.00,467.2,0.025085641,2.9,0.015368309,BEL,16.23886964
13,Belize,1.8,1.2,366954.00,1.5,8.05E-05,2,0.010598834,BLZ,12.8118528
14,Benin,8.6,0.1,10900000.00,8.3,0.000445657,0.9,0.004769475,BEN,16.20283291
15,Bhutan,2.2,3.9,797765.00,1.9,0.000102018,4.7,0.02490726,BTN,13.58836133
16,Bolivia,33.9,2.8,10900000.00,33.6,0.001804104,3.6,0.019077901,BOL,16.20283291
17,Bosnia and Herzegovina,16.9,1.2,3520000.00,16.6,0.000891313,2,0.010598834,BIH,15.07263158
18,Botswana,15.6,3.3,2250000.00,15.3,0.000821512,4.1,0.02172761,BWA,14.62514059
19,Brazil,1794,3.4,208000000.00,1793.7,0.096310177,4.2,0.022257552,BRA,19.15134607
20,Brunei Darussalam,11.4,-0.2,423196.00,11.1,0.000595999,0.6,0.00317965,BRN,12.95443905
21,Bulgaria,53.2,2.1,7130000.00,52.9,0.00284039,2.9,0.015368309,BGR,15.77841908
22,Burkina Faso,11.4,0.4,18600000.00,11.1,0.000595999,1.2,0.0063593,BFA,16.73718419
23,Burundi,3,16.1,10500000.00,2.7,0.000144973,16.9,0.089560148,BDI,16.1654487
24,Cabo Verde,1.6,0.8,539560.00,1.3,6.98E-05,1.6,0.008479067,CPV,13.19733602
25,Cambodia,20,2.9,15800000.00,19.7,0.001057764,3.7,0.019607843,KHM,16.57404706
26,Cameroon,32.2,0.6,23400000.00,31.9,0.001712825,1.4,0.007419184,CMR,16.96673823
27,Canada,1535.8,1.6,36300000.00,1535.5,0.082446494,2.4,0.012718601,CAN,17.40578092
28,Chile,250,2.2,17900000.00,249.7,0.013407287,3,0.015898251,CHL,16.69882674
29,China,11191,1.6,1380000000.00,11190.7,0.600868762,2.4,0.012718601,CHN,21.04347856
30,"Hong Kong SAR, China",320.9,1.5,7340000.00,320.6,0.017214162,2.3,0.012188659,HKG,15.80744411
31,"Macao SAR, China",45.3,1.2,612167.00,45,0.002416211,2,0.010598834,MAC,13.32357593
32,Colombia,280.1,4.3,48700000.00,279.8,0.015023464,5.1,0.027027027,COL,17.69961608
33,Costa Rica,57,1.6,4860000.00,56.7,0.003044426,2.4,0.012718601,CRI,15.39518036
34,Cote d'Ivoire,36.4,0.7,23700000.00,36.1,0.001938338,1.5,0.007949126,CIV,16.97947612
35,Croatia,51.3,1.1,4170000.00,51,0.002738373,1.9,0.010068892,HRV,15.24207156
36,Cyprus,20.2,0.5,1170000.00,19.9,0.001068502,1.3,0.006889242,CYP,13.97127225
37,Czech Republic,195.3,2.5,10600000.00,195,0.010470248,3.3,0.017488076,CZE,16.1749266
38,Denmark,306.9,1.1,5730000.00,306.6,0.016462452,1.9,0.010068892,DNK,15.55984281
39,Djibouti,1.8,0.6,942333.00,1.5,8.05E-05,1.4,0.007419184,DJI,13.75489118
40,Dominica,0.6,0.4,73543.00,0.3,1.61E-05,1.2,0.0063593,DMA,11.20462945
41,Dominican Republic,72.3,3.3,10600000.00,72,0.003865938,4.1,0.02172761,DOM,16.1749266
42,Ecuador,98.6,0.4,16400000.00,98.3,0.005278079,1.2,0.0063593,ECU,16.61131514
43,"Egypt, Arab Rep.",332.9,29.5,95700000.00,332.6,0.017858485,30.3,0.160572337,EGY,18.3750953
44,El Salvador,23.9,1,6340000.00,23.6,0.001267169,1.8,0.009538951,SLV,15.66099705
45,Equatorial Guinea,11.3,0.7,1220000.00,11,0.000590629,1.5,0.007949126,GNQ,14.01311564
46,Estonia,23.3,3.4,1320000.00,23,0.001234952,4.2,0.022257552,EST,14.09188952
47,Ethiopia,73,9.8,102000000.00,72.7,0.003903523,10.6,0.056173821,ETH,18.43884415
48,Fiji,4.7,3.4,898760.00,4.4,0.000236252,4.2,0.022257552,FJI,13.70755271
49,Finland,238.7,0.8,5500000.00,238.4,0.01280055,1.6,0.008479067,FIN,15.51887901
50,France,2465.1,1,66900000.00,2464.8,0.13234394,1.8,0.009538951,FRA,18.01710779
51,Georgia,14.4,6,3720000.00,14.1,0.000757079,6.8,0.036036036,GEO,15.12788935
52,Germany,3477.8,1.7,82300000.00,3477.5,0.18671943,2.5,0.013248543,DEU,18.22426152
53,Ghana,42.8,12.4,28200000.00,42.5,0.002281977,13.2,0.069952305,GHA,17.1533076
54,Greece,192.7,1.1,10800000.00,192.4,0.010330645,1.9,0.010068892,GRC,16.19361707
55,Grenada,1.1,0.9,107317.00,0.8,4.30E-05,1.7,0.009009009,GRD,11.58251266
56,Guatemala,68.7,4.4,16600000.00,68.4,0.003672641,5.2,0.027556969,GTM,16.62343542
57,Guinea,9.3,8.9,12400000.00,9,0.000483242,9.7,0.051404346,GIN,16.33175513
58,Guinea-Bissau,1.2,1.4,1820000.00,0.9,4.83E-05,2.2,0.011658718,GNB,14.41306573
59,Haiti,8,14.7,10800000.00,7.7,0.000413441,15.5,0.082140964,HTI,16.19361707
60,Honduras,21.6,3.9,9110000.00,21.3,0.001143673,4.7,0.02490726,HND,16.02345877
61,Hungary,125.8,2.3,9810000.00,125.5,0.006738544,3.1,0.016428193,HUN,16.09748176
62,Iceland,20.3,1.8,335439.00,20,0.001073872,2.6,0.013778484,ISL,12.7220644
63,India,2274.2,3.3,1320000000.00,2273.9,0.122093835,4.1,0.02172761,IND,20.99903075
64,Indonesia,932.3,3.8,261000000.00,932,0.050042418,4.6,0.024377318,IDN,19.37830822
65,"Iran, Islamic Rep.",419,10.5,80300000.00,418.7,0.022481503,11.3,0.059883413,IRN,18.19966222
66,Iraq,171.5,0.2,37200000.00,171.2,0.009192341,1,0.005299417,IRQ,17.43026976
67,Ireland,304.8,0.3,4760000.00,304.5,0.016349696,1.1,0.005829359,IRL,15.37439143
68,Israel,317.7,0.2,8550000.00,317.4,0.017042343,1,0.005299417,ISR,15.96002299
69,Italy,1859.4,1.2,60600000.00,1859.1,0.099821737,2,0.010598834,ITA,17.91821251
70,Jamaica,14.1,4.4,2880000.00,13.8,0.000740971,5.2,0.027556969,JAM,14.87197872
71,Japan,4949.3,0.5,127000000.00,4949,0.265729535,1.3,0.006889242,JPN,18.65803893
72,Jordan,38.7,3.3,9460000.00,38.4,0.002061834,4.1,0.02172761,JOR,16.06115509
73,Kazakhstan,137.3,7.4,17800000.00,137,0.007356021,8.2,0.04345522,KAZ,16.69322498
74,Kenya,70.9,8,48500000.00,70.6,0.003790767,8.8,0.04663487,KEN,17.69550122
75,"Korea, Rep.",1414.8,1.9,51200000.00,1414.5,0.075949571,2.7,0.014308426,KOR,17.74967213
76,Kosovo,6.7,1.5,1820000.00,6.4,0.000343639,2.3,0.012188659,XKX,14.41306573
77,Kuwait,110.9,2.2,4050000.00,110.6,0.00593851,3,0.015898251,KWT,15.21287501
78,Kyrgyz Republic,6.8,3.2,6080000.00,6.5,0.000349008,4,0.021197668,KGZ,15.6191267
79,Lao PDR,15.8,0.8,6760000.00,15.5,0.000832251,1.6,0.008479067,LAO,15.72513547
80,Latvia,27.6,2.9,1960000.00,27.3,0.001465835,3.7,0.019607843,LVA,14.48716711
81,Lebanon,49.6,4.3,6010000.00,49.3,0.002647094,5.1,0.027027027,LBN,15.60754779
82,Lesotho,2.3,5.3,2200000.00,2,0.000107387,6.1,0.032326444,LSO,14.60266973
83,Liberia,2.1,12.4,4610000.00,1.8,9.66E-05,13.2,0.069952305,LBR,15.34237447
84,Lithuania,42.8,3.7,2870000.00,42.5,0.002281977,4.5,0.023847377,LTU,14.86850077
85,Luxembourg,58.6,1.7,582014.00,58.3,0.003130336,2.5,0.013248543,LUX,13.2730698
86,"Macedonia, FYR",10.7,1.3,2080000.00,10.4,0.000558413,2.1,0.011128776,MKD,14.54658525
87,Madagascar,10,8.3,24900000.00,9.7,0.000520828,9.1,0.048224695,MDG,17.02886449
88,Malawi,5.4,12.2,18100000.00,5.1,0.000273837,13,0.068892422,MWI,16.70993697
89,Malaysia,296.5,3.9,31200000.00,296.2,0.015904039,4.7,0.02490726,MYS,17.25439473
90,Maldives,4.2,2.7,427756.00,3.9,0.000209405,3.5,0.01854796,MDV,12.96515561
91,Mali,14,1.8,18000000.00,13.7,0.000735602,2.6,0.013778484,MLI,16.70439729
92,Malta,11.3,1.4,455356.00,11,0.000590629,2.2,0.011658718,MLT,13.02767664
93,Mauritania,4.7,2.3,4300000.00,4.4,0.000236252,3.1,0.016428193,MRT,15.27276782
94,Mauritius,12.2,3.7,1260000.00,11.9,0.000638954,4.5,0.023847377,MUS,14.04537364
95,Mexico,1076.9,6,128000000.00,1076.6,0.05780651,6.8,0.036036036,MEX,18.66588141
96,Moldova,6.8,6.6,3550000.00,6.5,0.000349008,7.4,0.039215686,MDA,15.08111744
97,Mongolia,11.2,4.1,3030000.00,10.9,0.00058526,4.9,0.025967144,MNG,14.92274654
98,Montenegro,4.4,2.4,622303.00,4.1,0.000220144,3.2,0.016958135,MNE,13.33999646
99,Morocco,103.6,0.8,35300000.00,103.3,0.005546547,1.6,0.008479067,MAR,17.37784862
100,Mozambique,11,15.1,28800000.00,10.7,0.000574521,15.9,0.084260731,MOZ,17.17435913
101,Myanmar,63.2,4.6,52900000.00,62.9,0.003377326,5.4,0.028616852,MMR,17.78233304
102,Namibia,11.3,6.1,2480000.00,11,0.000590629,6.9,0.036565978,NAM,14.72246028
103,Nepal,21.1,3.2,29000000.00,20.8,0.001116826,4,0.021197668,NPL,17.18127896
104,Netherlands,777.2,1.4,17000000.00,776.9,0.041714543,2.2,0.011658718,NLD,16.64724395
105,New Zealand,189.3,1.9,4690000.00,189,0.010148087,2.7,0.014308426,NZL,15.35957767
106,Nicaragua,13.2,3.9,6150000.00,12.9,0.000692647,4.7,0.02490726,NIC,15.63057307
107,Niger,7.6,2.4,20700000.00,7.3,0.000391963,3.2,0.016958135,NER,16.8441468
108,Nigeria,404.7,16.5,186000000.00,404.4,0.021713684,17.3,0.091679915,NGA,19.0395646
109,Norway,371.1,1.9,5230000.00,370.8,0.01990958,2.7,0.014308426,NOR,15.46854667
110,Oman,66.8,1.6,4420000.00,66.5,0.003570623,2.4,0.012718601,OMN,15.30029005
111,Pakistan,278.7,4.1,193000000.00,278.4,0.014948293,4.9,0.025967144,PAK,19.07650483
112,Palau,0.3,1.3,21503.00,0,0,2.1,0.011128776,PLW,9.975060951
113,Panama,57.8,0.9,4030000.00,57.5,0.003087381,1.7,0.009009009,PAN,15.20792494
