Index,Country,GDP,CPI,Population,CleanGDP,NGDP,CleanCPI,NCPI,abbr,logPop
0,Albania,11.9,2,"2,880,000",11.6,0.000622846,2.8,0.014838368,ALB,21.45763738
1,Algeria,159,5.6,"40,600,000",158.7,0.008521171,6.4,0.033916269,DZA,25.27497639
2,Angola,95.3,31.7,"28,800,000",95,0.00510089,32.5,0.172231055,AGO,24.77956548
4,Armenia,10.5,1,"2,920,000",10.2,0.000547675,1.8,0.009538951,ARM,21.47753694
5,Australia,1208,1.9,"24,200,000",1207.7,0.064845738,2.7,0.014308426,AUS,24.52850371
6,Austria,390.8,2.1,"8,740,000",390.5,0.020967344,2.9,0.015368309,AUT,23.05920185
7,Azerbaijan,37.9,12.9,"9,760,000",37.6,0.002018879,13.7,0.072602014,AZE,23.21844972
8,"Bahamas, The",11.8,1.5,"391,232",11.5,0.000617476,2.3,0.012188659,BHS,18.57766485
9,Bahrain,32.2,1.4,"1,430,000",31.9,0.001712825,2.2,0.011658718,BHR,20.44758372
10,Bangladesh,221.4,5.8,"163,000,000",221.1,0.011871651,6.6,0.034976153,BGD,27.28029672
11,Barbados,4.5,4.7,"284,996",4.2,0.000225513,5.5,0.029146794,BRB,18.12058215
12,Belgium,467.5,2.1,"11,300,000",467.2,0.025085641,2.9,0.015368309,BEL,23.42981944
13,Belize,1.8,1.2,"366,954",1.5,8.05E-05,2,0.010598834,BLZ,18.4852397
14,Benin,8.6,0.1,"10,900,000",8.3,0.000445657,0.9,0.004769475,BEN,23.3778248
15,Bhutan,2.2,3.9,"797,765",1.9,0.000102018,4.7,0.02490726,BTN,19.6056043
16,Bolivia,33.9,2.8,"10,900,000",33.6,0.001804104,3.6,0.019077901,BOL,23.3778248
17,Bosnia and Herzegovina,16.9,1.2,"3,520,000",16.6,0.000891313,2,0.010598834,BIH,21.747144
18,Botswana,15.6,3.3,"2,250,000",15.3,0.000821512,4.1,0.02172761,BWA,21.10149357
19,Brazil,1794,3.4,"208,000,000",1793.7,0.096310177,4.2,0.022257552,BRA,27.63200829
20,Brunei Darussalam,11.4,-0.2,"423,196",11.1,0.000595999,0.6,0.00317965,BRN,18.69096647
21,Bulgaria,53.2,2.1,"7,130,000",52.9,0.00284039,2.9,0.015368309,BGR,22.76547065
22,Burkina Faso,11.4,0.4,"18,600,000",11.1,0.000595999,1.2,0.0063593,BFA,24.14879929
23,Burundi,3,16.1,"10,500,000",2.7,0.000144973,16.9,0.089560148,BDI,23.32388599
24,Cabo Verde,1.6,0.8,"539,560",1.3,6.98E-05,1.6,0.008479067,CPV,19.04142387
25,Cambodia,20,2.9,"15,800,000",19.7,0.001057764,3.7,0.019607843,KHM,23.91342122
26,Cameroon,32.2,0.6,"23,400,000",31.9,0.001712825,1.4,0.007419184,CMR,24.48000519
27,Canada,1535.8,1.6,"36,300,000",1535.5,0.082446494,2.4,0.012718601,CAN,25.11346621
28,Chile,250,2.2,"17,900,000",249.7,0.013407287,3,0.015898251,CHL,24.09345625
29,China,11191,1.6,"1,380,000,000",11190.7,0.600868762,2.4,0.012718601,CHN,30.36202112
30,"Hong Kong SAR, China",320.9,1.5,"7,340,000",320.6,0.017214162,2.3,0.012188659,HKG,22.80734863
31,"Macao SAR, China",45.3,1.2,"612,167",45,0.002416211,2,0.010598834,MAC,19.22356575
32,Colombia,280.1,4.3,"48,700,000",279.8,0.015023464,5.1,0.027027027,COL,25.53741844
33,Costa Rica,57,1.6,"4,860,000",56.7,0.003044426,2.4,0.012718601,CRI,22.21252488
